3.000 1.000 1.000 0.000 7.250 1.000 6.000 2.000
1.000 0.000 1.000 0.000 71.283 3.000 0.000 2.000
3.000 0.000 0.000 0.000 7.925 1.000 2.000 1.000
1.000 0.000 1.000 0.000 53.100 1.000 0.000 2.000
3.000 1.000 0.000 0.000 8.050 1.000 6.000 1.000
3.000 1.000 0.000 0.000 8.458 2.000 6.000 1.000
1.000 1.000 0.000 0.000 51.862 1.000 4.000 1.000
3.000 1.000 3.000 1.000 21.075 1.000 6.000 5.000
3.000 0.000 0.000 2.000 11.133 1.000 2.000 3.000
2.000 0.000 1.000 0.000 30.071 3.000 1.000 2.000
3.000 0.000 1.000 1.000 16.700 1.000 2.000 3.000
1.000 0.000 0.000 0.000 26.550 1.000 0.000 1.000
3.000 1.000 0.000 0.000 8.050 1.000 6.000 1.000
3.000 1.000 1.000 5.000 31.275 1.000 6.000 7.000
3.000 0.000 0.000 0.000 7.854 1.000 2.000 1.000
2.000 0.000 0.000 0.000 16.000 1.000 1.000 1.000
3.000 1.000 4.000 1.000 29.125 2.000 6.000 6.000
2.000 1.000 0.000 0.000 13.000 1.000 5.000 1.000
3.000 0.000 1.000 0.000 18.000 1.000 2.000 2.000
3.000 0.000 0.000 0.000 7.225 3.000 2.000 1.000
2.000 1.000 0.000 0.000 26.000 1.000 5.000 1.000
2.000 1.000 0.000 0.000 13.000 1.000 5.000 1.000
3.000 0.000 0.000 0.000 8.029 2.000 2.000 1.000
1.000 1.000 0.000 0.000 35.500 1.000 4.000 1.000
3.000 0.000 3.000 1.000 21.075 1.000 2.000 5.000
3.000 0.000 1.000 5.000 31.387 1.000 2.000 7.000
3.000 1.000 0.000 0.000 7.225 3.000 6.000 1.000
1.000 1.000 3.000 2.000 263.000 1.000 4.000 6.000
3.000 0.000 0.000 0.000 7.879 2.000 2.000 1.000
3.000 1.000 0.000 0.000 7.896 1.000 6.000 1.000
1.000 1.000 0.000 0.000 27.721 3.000 4.000 1.000
1.000 0.000 1.000 0.000 146.521 3.000 0.000 2.000
3.000 0.000 0.000 0.000 7.750 2.000 2.000 1.000
2.000 1.000 0.000 0.000 10.500 1.000 5.000 1.000
1.000 1.000 1.000 0.000 82.171 3.000 4.000 2.000
1.000 1.000 1.000 0.000 52.000 1.000 4.000 2.000
3.000 1.000 0.000 0.000 7.229 3.000 6.000 1.000
3.000 1.000 0.000 0.000 8.050 1.000 6.000 1.000
3.000 0.000 2.000 0.000 18.000 1.000 2.000 3.000
3.000 0.000 1.000 0.000 11.242 3.000 2.000 2.000
3.000 0.000 1.000 0.000 9.475 1.000 2.000 2.000
2.000 0.000 1.000 0.000 21.000 1.000 1.000 2.000
3.000 1.000 0.000 0.000 7.896 3.000 6.000 1.000
2.000 0.000 1.000 2.000 41.579 3.000 1.000 4.000
3.000 0.000 0.000 0.000 7.879 2.000 2.000 1.000
3.000 1.000 0.000 0.000 8.050 1.000 6.000 1.000
3.000 1.000 1.000 0.000 15.500 2.000 6.000 2.000
3.000 0.000 0.000 0.000 7.750 2.000 2.000 1.000
3.000 1.000 2.000 0.000 21.679 3.000 6.000 3.000
3.000 0.000 1.000 0.000 17.800 1.000 2.000 2.000
3.000 1.000 4.000 1.000 39.688 1.000 6.000 6.000
3.000 1.000 0.000 0.000 7.800 1.000 6.000 1.000
1.000 0.000 1.000 0.000 76.729 3.000 0.000 2.000
2.000 0.000 1.000 0.000 26.000 1.000 1.000 2.000
1.000 1.000 0.000 1.000 61.979 3.000 4.000 2.000
1.000 1.000 0.000 0.000 35.500 1.000 4.000 1.000
2.000 0.000 0.000 0.000 10.500 1.000 1.000 1.000
3.000 1.000 0.000 0.000 7.229 3.000 6.000 1.000
2.000 0.000 1.000 2.000 27.750 1.000 1.000 4.000
3.000 1.000 5.000 2.000 46.900 1.000 6.000 8.000
3.000 1.000 0.000 0.000 7.229 3.000 6.000 1.000
1.000 0.000 0.000 0.000 80.000 nan 0.000 1.000
1.000 1.000 1.000 0.000 83.475 1.000 4.000 2.000
3.000 1.000 3.000 2.000 27.900 1.000 6.000 6.000
1.000 1.000 0.000 0.000 27.721 3.000 4.000 1.000
3.000 1.000 1.000 1.000 15.246 3.000 6.000 3.000
2.000 0.000 0.000 0.000 10.500 1.000 1.000 1.000
3.000 1.000 0.000 0.000 8.158 1.000 6.000 1.000
3.000 0.000 4.000 2.000 7.925 1.000 2.000 7.000
